id,"y__fft_coefficient__attr_""imag""__coeff_89",y__sum_of_reoccurring_data_points,y__index_mass_quantile__q_0.8,"y__fft_coefficient__attr_""angle""__coeff_49","y__fft_coefficient__attr_""real""__coeff_70","y__fft_coefficient__attr_""real""__coeff_58","y__fft_coefficient__attr_""imag""__coeff_80",y__number_peaks__n_3,y__spkt_welch_density__coeff_2,"y__linear_trend__attr_""rvalue""","y__fft_coefficient__attr_""imag""__coeff_83","y__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_69","y__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4","y__fft_coefficient__attr_""imag""__coeff_73","y__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","y__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","y__fft_coefficient__attr_""imag""__coeff_32","y__fft_coefficient__attr_""abs""__coeff_59","y__linear_trend__attr_""slope""","y__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0",y__partial_autocorrelation__lag_5,"y__cwt_coefficients__coeff_11__w_5__widths_(2, 5, 10, 20)","y__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","y__fft_coefficient__attr_""abs""__coeff_34",y__has_duplicate,y__has_duplicate_max,"y__fft_coefficient__attr_""abs""__coeff_98",y__sum_values,y__energy_ratio_by_chunks__num_segments_10__segment_focus_1
4,545.7141492991811,404414.14954567305,0.8335618316424458,-136.12485794286766,172.15879635580683,1017.7482514813292,1119.009878224259,1797.0,79.66973828643889,0.3549209264982654,575.4719673942271,26.034092032733223,929.42046619728,-0.0007697245023681,766.2339368460493,0.0011895469100027,13.026050745164824,2093.2051689399923,1411.6725863755798,0.0004381710007514,0.1551813676400728,0.1190829189126102,4.742623339933852,0.0021964418248098,2384.232036040012,1.0,1.0,876.666980549774,413904.1997928656,0.0796489423746616
5,881.4435111031164,372501.5149865515,0.8145873320537428,169.20452497696914,1061.0827930679434,-2761.323796100912,996.3124550187576,1586.0,274.2842057773907,0.1058652091627472,-542.0919162309547,36.549881384801004,-95.73197637162366,-0.0005091042171957,1832.004116570734,0.0099249227824047,12.01212947979384,-2770.041980456116,2944.219293869458,0.0001456680191701,0.2632397892139655,0.1374376160511767,11.550723574022138,-0.0040830062062081,4207.305118834265,1.0,0.0,1971.791654356768,470769.3045091425,0.1012312155293926
9,33224.435318341435,76441910.0,0.8006032355360571,-15.418676720104674,22849.82293879411,-155226.8107635281,-147507.2185940108,2227.0,5233124.483351882,0.0177316488764105,-202791.0836113368,7336.939081961778,-101207.75249907035,0.0920305023923445,-99080.76720961503,25.65525415325816,2032.6971767054608,-285530.1467678659,270582.4435177366,0.0065688136101182,3615.698982310555,0.1055575467906433,2099.9483225187187,-0.2530796228752323,408385.2712686788,1.0,0.0,125234.4427901138,84150428.5,0.0941618343085383
10,128787.10102473316,63389313.0,0.7889772415684124,122.94697586443064,14295.97758714146,114756.78621639057,-70293.69672326201,2150.0,3440650.995151297,0.0138048131372806,-19606.650202532404,7986.665836113596,-68800.06251106487,-0.1738809277589008,-110728.9298939988,19.982262135220424,3053.765329207161,-159324.5761484064,69116.28687631906,0.0040582679930454,2184.665891272077,0.0936218275477829,2580.486397772656,-0.0664646325504511,153842.15234782046,1.0,0.0,23975.49324262076,67521008.0,0.0921056940693244
12,212.5236127484996,595879.13,0.8064034505640345,-104.71343387075817,-81.17289110481158,387.7926128711091,44.52453291573262,2617.0,43.67363620943702,0.0342129476582636,-378.348922461101,41.500405486037,-565.4145279260758,0.0024230793234725,500.82224481259686,0.0042089084589785,12.303416001181512,62.65972531978596,286.44696328172165,2.063102685324248e-05,0.3408881637501254,0.2073678879807597,13.615191566054692,2.446821591049e-05,679.4051011717924,1.0,0.0,235.66125469921,605013.13,0.1034972059076267
13,405.2727012995642,593493.6,0.8088477140664401,-127.63534270933654,-258.81964339581106,134.70401967420912,-93.4227946704378,2627.0,47.310392351287575,0.1313451236326132,-225.2668838678821,44.96728008373489,496.86893559261534,0.0063956197187304,-462.74625187803656,0.0038783982676245,12.206846815725129,8.820818551138842,798.0868537063775,8.835328777391269e-05,0.3818478931248668,0.1850556784734316,13.944526547564932,-0.0001386368585323,1380.4703331701758,1.0,0.0,717.4909675902912,615684.8499999999,0.1024049487232576
14,511.57988152625455,615341.5,0.8003264417845484,-100.17362510896398,-1172.184076326609,-433.60088496306776,877.7581382391548,2573.0,47.198469344234894,0.1480339052745729,346.10430161844454,73.96719547317005,737.4508076658058,0.0039897326617589,764.5956073732065,0.0046229566602281,43.24295997642374,1398.9770274056818,756.3761729262038,8.49293443861074e-05,0.3806523691071863,0.1704134289455836,36.74182902314119,-0.0017686556329848,1003.0374485737518,1.0,0.0,829.1238904095521,631181.54,0.0896492927216487
15,525.1177794057805,665373.3599999999,0.799561283246504,140.53552525709168,-326.74312967420497,951.4420232570112,-206.5442807726137,2511.0,115.92279962739023,0.0029637354584991,-878.2144963390887,52.01039693254455,802.9741619746148,-0.0016084156933213,-1710.1283190730817,0.0066773326889774,13.705638921702514,-1229.9401071095017,750.4040190815807,2.5048064804030178e-06,0.5317455156012065,0.1715909357222839,14.60967106273177,-0.0016621188185169,590.2997522360413,1.0,0.0,301.47307501851424,683033.9149999999,0.1021040770190711
16,-514.977498940653,631214.9,0.7928160131615026,178.63081210650458,-696.530980658932,-916.383543637619,40.37957870971295,2538.0,67.17435656620952,-0.0499738676236722,1203.701157655145,43.04164619026519,278.13388469236617,-0.0024528672427336,129.78623008675595,0.0063237353008885,13.578918871857496,-544.1007878236944,253.55095888328228,-3.4392455497308226e-05,0.6077014226895168,0.226701594898998,12.798610936008949,0.0018913816888114,638.1505884223424,1.0,0.0,368.04351887151824,642627.87,0.1023994540010107
17,-23.41632915214737,584056.6699999999,0.8080614203454894,8.825723815506247,105.57552828858331,-195.21011214640163,-819.7529330863572,2536.0,48.64131060072041,-0.1578892590945426,-462.19562153274967,20.75065753448449,-33.239248886264306,0.0006081447963801,-854.8710593486917,0.0093813498819515,-6.415845555390872,-44.55389310481337,928.1094549921849,-0.0001199074886764,0.51520278961928,0.1676139349007023,14.166650562942596,-0.0096042428675932,739.3827087280501,1.0,0.0,325.8571169013157,595324.455,0.106741001996703
19,-178534.95743538195,63589834.0,0.7904579106114614,-156.93383973593384,47893.85351187732,41894.1243026497,-29991.98930554245,2148.0,3364414.818936048,0.0075390697802189,74155.46413021733,6770.561285612985,56587.31066906655,0.466538062027007,-11817.607913236783,22.06956351447389,3296.6264891697942,-181628.8975757073,67294.159836294,0.0022155322202239,2336.544683513907,0.0963103894305846,1674.2635595188262,0.0552801872504474,125579.596320168,1.0,0.0,41744.76244131821,67687143.0,0.1004325984591359
