id,y__fourier_entropy__bins_100,y__cid_ce__normalize_True,y__autocorrelation__lag_3,y__autocorrelation__lag_1,y__partial_autocorrelation__lag_1,y__partial_autocorrelation__lag_3,y__ar_coefficient__coeff_3__k_10,y__autocorrelation__lag_2,y__number_peaks__n_10,y__large_standard_deviation__r_0.1,"y__agg_autocorrelation__f_agg_""mean""__maxlag_40","y__agg_autocorrelation__f_agg_""median""__maxlag_40",y__ar_coefficient__coeff_4__k_10,y__autocorrelation__lag_9,y__autocorrelation__lag_5,y__autocorrelation__lag_7,y__large_standard_deviation__r_0.15000000000000002,y__autocorrelation__lag_8,y__autocorrelation__lag_4,"y__fft_coefficient__attr_""abs""__coeff_78","y__fft_coefficient__attr_""abs""__coeff_40","y__fft_coefficient__attr_""abs""__coeff_23",y__autocorrelation__lag_6,y__fourier_entropy__bins_5,y__binned_entropy__max_bins_10,"y__fft_coefficient__attr_""abs""__coeff_38",y__partial_autocorrelation__lag_4,"y__fft_coefficient__attr_""abs""__coeff_64","y__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","y__fft_coefficient__attr_""abs""__coeff_70"
4,0.9457372625465572,21.883146869597525,0.9740392579980084,0.9867683480340912,0.9867683480340916,0.2033159397412282,0.1489644898723578,0.9781495004539946,626.0,1.0,0.9402825346603834,0.9361044625147588,-0.0606088126319478,0.956874964411027,0.964991210101206,0.957459611740122,1.0,0.9564255423851208,0.9683573728830458,450.4636070581059,899.6066431710815,2468.60562459466,0.9627708753681417,0.1252557017492216,1.966621032237436,10070.291330494763,0.0104611921732941,1174.2631125071157,0.46155864393879,1125.591586979433
5,0.9621685818023348,25.346160024402018,0.9607830343552598,0.982431778724562,0.9824317787245616,0.2084316060679025,0.2571611772109635,0.968014206360073,570.0,0.0,0.8936372513750068,0.8823332082486288,-0.1764394593919057,0.9239942359865888,0.9418293688836188,0.9302831897926198,0.0,0.9257630633865428,0.9493731857410702,2045.351336094832,3794.428197050484,7640.43897127434,0.9376379513066748,0.1252557017492216,1.200814927805631,9105.886507354177,-0.0870735393125455,996.195561140539,0.552538040185924,1149.0342395377857
9,0.1360021696648796,9.309701028981449,0.996023587917174,0.9976196972485044,0.997619697248504,0.1833276018369708,0.0629232221737211,0.9966215132700544,627.0,1.0,0.9836559047272064,0.9866702936105648,0.0499117641459338,0.9942319337461338,0.9952884850357062,0.994724763796584,1.0,0.9943704266393556,0.9956131892458796,111190.94451505868,305773.3982252773,1670470.087917293,0.994999448677797,0.0453947781468581,1.97273769710331,4268016.203389642,0.1371267844293141,670337.881162253,83.3012920908379,160512.13813664342
10,0.1252557017492216,10.213728516098698,0.9951099169572596,0.9971485307040022,0.9971485307040022,0.1318570376291778,0.0432925150664008,0.9960599488566182,597.0,1.0,0.98215451951974,0.9852488724397662,0.0018998725671063,0.9930202535856468,0.9937760208585804,0.9931529657775144,1.0,0.9929738276451116,0.9943257635612088,163141.562241871,132999.30196700484,1526245.1193593948,0.9934358830891836,0.0453947781468581,1.916677890848688,3174584.6978292186,0.087877896143709,486170.6725278051,76.67033801747057,125383.59911191666
12,2.066495638231459,69.88682634683344,0.7990514769721242,0.8649859697916682,0.8649859697916682,0.0951838149585021,-0.1218573959885271,0.8411952496145049,844.0,0.0,0.7657488203781538,0.7539433622262512,0.1908415199544406,0.7810753572726528,0.8280766495963408,0.7772493864982305,0.0,0.7743066656495586,0.825579638602767,673.7866475905668,264.91373740732007,1057.3097115698615,0.802699846402239,0.155664698712122,1.00820967382606,4121.649917275878,0.3176077989622473,983.9182183791136,0.5264852225963338,373.87746495817424
13,1.9342964930765467,61.23520564503509,0.8454444142992692,0.8971967569596921,0.8971967569596921,0.0640792462675403,-0.1502069989545592,0.8837062462009636,799.0,0.0,0.8150692801831912,0.8074828570812654,0.2224658285179271,0.8262573566496896,0.8668262181678826,0.8298865040981417,0.0,0.8258410466508106,0.8715091963110512,381.2701986099427,1767.354588312864,4607.982971041928,0.8579210882473608,0.155664698712122,1.089893090103769,153.74275234978282,0.3513155447990514,1739.4406621567152,0.5684077739227552,517.7118017620126
14,2.061799911621639,76.36240030565907,0.7642733408893203,0.8413532374287631,0.8413532374287629,0.1243823910025356,-0.0607396153856845,0.8051133298868829,799.0,0.0,0.7039013674848437,0.6879825178127588,0.199568193538222,0.7255222448908819,0.7891927088890827,0.7297325542911064,0.0,0.7203345981576378,0.7909042689601524,800.0496873814346,2049.1188107363223,2421.5689141159896,0.7636997727000775,0.2331370224017834,0.8567390181308473,2714.6648400707822,0.3015933031037892,2781.5860323702905,0.5201655951685175,1202.9287172956472
15,1.5345394958578311,63.35451981054212,0.8464707449926662,0.8899372334595287,0.8899372334595282,0.1509005351429836,-0.0364916664539429,0.8718819548016965,806.0,0.0,0.8100810450173773,0.8050918688466351,0.2024932076570903,0.8232174804094047,0.8619905683337289,0.838260579747328,0.0,0.82531688751371,0.8660620603049798,717.6814559974376,1984.5876105244347,6197.950257701712,0.8605579861233523,0.0907289936621287,0.9747590449178748,3496.664674429097,0.3121793892174516,370.86329065842494,0.6826981814971753,1136.5075258249449
16,2.147215807760829,74.183124922405,0.7779653459853343,0.8491375429867929,0.849137542986793,0.0602873510507761,-0.1158119285075208,0.8325974791793113,803.0,0.0,0.720048812252631,0.7032733866269643,0.1736821541271387,0.732326686935977,0.8133394574125575,0.7615380344545338,0.0,0.7417227569468262,0.8108368048092982,528.0075509876755,2142.504955834438,2170.658189818217,0.8080508070224839,0.2627423325550306,0.9524978324078848,2458.485939249375,0.3194629848732381,1623.0593505118557,0.5434593209481101,884.4283958237177
17,1.939280204276214,77.26449858879377,0.7909753276900191,0.8363063475905964,0.8363063475905962,0.15690793919486,-0.001715801302757,0.8261231363151271,766.0,0.0,0.7496207773482935,0.7422180432760663,0.1416536822902963,0.7622448846347807,0.8014493823661416,0.7729601254008927,0.0,0.7647742245371667,0.8082106321702835,796.1623687397646,1614.7555165033743,2983.086319307579,0.8006695697096395,0.2284647054834789,0.4897657389351538,3269.4318625840374,0.2535083920698426,1303.445708117793,0.6657930317212689,1190.3560731542066
